구분코드,구분코드설명,분류코드,분류코드설명
1100,부류코드,100,식량작물
1100,부류코드,200,채소류
1100,부류코드,300,측용작물
1100,부류코드,400,과일류
1100,부류코드,500,축산물
1200,품목코드,111,쌀
1200,품목코드,211,배추
1200,품목코드,214,상추
1200,품목코드,224,호박
1200,품목코드,245,양파
1200,품목코드,256,파프리카
1200,품목코드,312,참깨 
1200,품목코드,411,사과
1200,품목코드,514,돼지고기
1200,품목코드,515,닭고기
1300,지역코드,1101,서울 
1300,지역코드,2100,부산
1300,지역코드,2200,대구
1300,지역코드,2300,인천
1300,지역코드,2401,광주
1300,지역코드,2501,대전
1300,지역코드,2601,울산
1300,지역코드,3111,수원
1300,지역코드,3113,의정부
1300,지역코드,3145,용인
1300,지역코드,3211,춘천
1300,지역코드,3311,청주
1300,지역코드,3511,전주
1300,지역코드,3613,순천
1300,지역코드,3711,포항
1300,지역코드,3714,안동
1300,지역코드,3814,창원
1300,지역코드,3911,제주
1400,마트코드,380001,A시장
1400,마트코드,380401,A유통
1400,마트코드,390401,B유통
1400,마트코드,110212,B시장
1400,마트코드,110251,C시장
1400,마트코드,110401,C유통
1400,마트코드,110402,D유통
1400,마트코드,110403,E유통
1400,마트코드,110404,F유통
1400,마트코드,110405,G유통
1400,마트코드,110406,H유통
1400,마트코드,110407,I유통
1400,마트코드,210022,D시장
1400,마트코드,210401,J유통
1400,마트코드,210402,E시장
1400,마트코드,210403,K유통
1400,마트코드,220062,F시장
1400,마트코드,220063,G시장
1400,마트코드,220401,L유통
1400,마트코드,220402,M유통
1400,마트코드,220403,N유통
1400,마트코드,230036,H시장
1400,마트코드,230401,O유통
1400,마트코드,240121,I시장
1400,마트코드,240141,J시장
1400,마트코드,240401,P유통
1400,마트코드,240402,Q유통
1400,마트코드,240403,R유통
1400,마트코드,250112,K시장
1400,마트코드,250401,S유통
1400,마트코드,250402,T유통
1400,마트코드,250403,U유통
1400,마트코드,260401,V유통
1400,마트코드,310001,L시장
1400,마트코드,310402,W유통
1400,마트코드,310403,X유통
1400,마트코드,312401,Y유통
1400,마트코드,320001,M시장
1400,마트코드,320401,Z유통
1400,마트코드,330001,N시장
1400,마트코드,330401,AA유통
1400,마트코드,350001,O시장
1400,마트코드,350401,AB유통
1400,마트코드,360401,AC유통
1400,마트코드,370401,AD유통
1400,마트코드,372401,AE유통
1400,마트코드,260001,P시장
1400,마트코드,390001,Q시장
